doc_id,url,source,language,rights,content_sha256,policy_version,final_stage,decision,reason,cluster_id,kept_id
synthetic-00027,https://fixture.invalid/00027,web,en,permission,cc139204a8c8a513038cad83b852c7060d5c75c45a4e34a95c2ad1c2d563094e,ch05-transparent-filter-v1,filter,rejected,too-short,,
synthetic-00028,https://fixture.invalid/00028,web,en,permission,c9a96baa9f33d96948185b9748d4c7adaf06f792b97aafc9780ff443100b6881,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
synthetic-00029,https://fixture.invalid/00029,community,en,permission,d9d915539539c1b179d99bb033347a7ec5c06f5750255509f4797c76466c406e,ch05-transparent-filter-v1,mixture,selected,source-quota,8,synthetic-00029
synthetic-00030,https://fixture.invalid/00030,reference,en,licensed,68cf30b031d03bc7a5fea02ea2a5400c747be9fa29d391c705672ee53ef7dd0a,ch05-transparent-filter-v1,deduplication,rejected,near-duplicate,9,synthetic-00031
synthetic-00031,https://fixture.invalid/00031,reference,en,licensed,be18ff0e64333c68842ca0afa13266f99f31e15592a3a86e63ff63c3b65aea10,ch05-transparent-filter-v1,mixture,selected,source-quota,9,synthetic-00031
synthetic-00032,https://fixture.invalid/00032,web,en,licensed,3c357afb0b88e7d4064069e044bfb7829f99802a211c96dee3a504fa55e69347,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
synthetic-00033,https://fixture.invalid/00033,web,en,restricted,329d8aaa6c9ab595ab6bb7e8e650899b8eab06da08816483fca37ea8e14d2317,ch05-transparent-filter-v1,filter,rejected,rights-policy,,
synthetic-00034,https://fixture.invalid/00034,web,en,licensed,296120c46702d28e170e3210f9fde9fa5c2ba5547307bd3cff9f4bf403cef686,ch05-transparent-filter-v1,filter,rejected,low-alpha-ratio,,
synthetic-00035,https://fixture.invalid/00035,library,en,public-domain,055575c95322c27fed565e16732539d5aa27627ccabb52e4052d7143d70ff4a5,ch05-transparent-filter-v1,mixture,selected,source-quota,10,synthetic-00035
synthetic-00036,https://fixture.invalid/00036,web,en,permission,7cbfd2dd7d7c9d009868ef17b148daae9e9578d83d4ad37902cc250e609347ce,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
synthetic-00037,https://fixture.invalid/00037,web,en,permission,cc139204a8c8a513038cad83b852c7060d5c75c45a4e34a95c2ad1c2d563094e,ch05-transparent-filter-v1,filter,rejected,too-short,,
synthetic-00038,https://fixture.invalid/00038,web,en,permission,c9a96baa9f33d96948185b9748d4c7adaf06f792b97aafc9780ff443100b6881,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
synthetic-00039,https://fixture.invalid/00039,community,en,permission,8f59095a45945eefd36c811d2f92da856ba698640f543251f0dd5b5baa2ff21b,ch05-transparent-filter-v1,mixture,selected,source-quota,11,synthetic-00039
synthetic-00040,https://fixture.invalid/00040,reference,en,licensed,4ac9ee30487d014f9b6a12908f8194388c9bad63253734243a6ee132112040eb,ch05-transparent-filter-v1,deduplication,rejected,near-duplicate,12,synthetic-00041
synthetic-00041,https://fixture.invalid/00041,reference,en,licensed,412eed55a3bf053ba27edb35befeed0b2c9082b6ab2be066582d6ff843d781e4,ch05-transparent-filter-v1,mixture,selected,source-quota,12,synthetic-00041
synthetic-00042,https://fixture.invalid/00042,web,en,licensed,3c357afb0b88e7d4064069e044bfb7829f99802a211c96dee3a504fa55e69347,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
synthetic-00043,https://fixture.invalid/00043,web,en,restricted,a874ec9bbc79208793e0ee3ce1362abbba0c3a324d08f64098d3e32418ad62a0,ch05-transparent-filter-v1,filter,rejected,rights-policy,,
synthetic-00044,https://fixture.invalid/00044,web,en,licensed,296120c46702d28e170e3210f9fde9fa5c2ba5547307bd3cff9f4bf403cef686,ch05-transparent-filter-v1,filter,rejected,low-alpha-ratio,,
synthetic-00045,https://fixture.invalid/00045,library,en,public-domain,e62ff8dfe2c2a633ac01709c8eef20fb652881795f55aba2e526febd58ccf862,ch05-transparent-filter-v1,mixture,selected,source-quota,13,synthetic-00045
synthetic-00046,https://fixture.invalid/00046,web,en,permission,7cbfd2dd7d7c9d009868ef17b148daae9e9578d83d4ad37902cc250e609347ce,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
synthetic-00047,https://fixture.invalid/00047,web,en,permission,cc139204a8c8a513038cad83b852c7060d5c75c45a4e34a95c2ad1c2d563094e,ch05-transparent-filter-v1,filter,rejected,too-short,,
synthetic-00048,https://fixture.invalid/00048,web,en,permission,c9a96baa9f33d96948185b9748d4c7adaf06f792b97aafc9780ff443100b6881,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
synthetic-00049,https://fixture.invalid/00049,community,en,permission,91f42def6b408994477f4f815a2374751add140daff2833e872b8eea9082936f,ch05-transparent-filter-v1,mixture,selected,source-quota,14,synthetic-00049
synthetic-00050,https://fixture.invalid/00050,reference,en,licensed,1becc3749cd278aa24c614d9dd180043572c28bb55006ba3611a71e045e8274f,ch05-transparent-filter-v1,deduplication,rejected,near-duplicate,15,synthetic-00051
synthetic-00051,https://fixture.invalid/00051,reference,en,licensed,d47c08f4ce09100d797c6d8144ae34b27959c1033607f5fa4bfc42dbb62f7b0a,ch05-transparent-filter-v1,mixture,selected,source-quota,15,synthetic-00051
synthetic-00052,https://fixture.invalid/00052,web,en,licensed,3c357afb0b88e7d4064069e044bfb7829f99802a211c96dee3a504fa55e69347,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
synthetic-00053,https://fixture.invalid/00053,web,en,restricted,9f3ebc361e40ca8ff14cd592981ecfb5f0bc7c3079128e04478d91f6feed2b3d,ch05-transparent-filter-v1,filter,rejected,rights-policy,,
synthetic-00054,https://fixture.invalid/00054,web,en,licensed,296120c46702d28e170e3210f9fde9fa5c2ba5547307bd3cff9f4bf403cef686,ch05-transparent-filter-v1,filter,rejected,low-alpha-ratio,,
synthetic-00055,https://fixture.invalid/00055,library,en,public-domain,d4d03bd291d57bc70800f05d252f3d6a8858e667036b38630257657a92734e71,ch05-transparent-filter-v1,mixture,selected,source-quota,16,synthetic-00055
synthetic-00056,https://fixture.invalid/00056,web,en,permission,7cbfd2dd7d7c9d009868ef17b148daae9e9578d83d4ad37902cc250e609347ce,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
synthetic-00057,https://fixture.invalid/00057,web,en,permission,cc139204a8c8a513038cad83b852c7060d5c75c45a4e34a95c2ad1c2d563094e,ch05-transparent-filter-v1,filter,rejected,too-short,,
synthetic-00058,https://fixture.invalid/00058,web,en,permission,c9a96baa9f33d96948185b9748d4c7adaf06f792b97aafc9780ff443100b6881,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
synthetic-00059,https://fixture.invalid/00059,community,en,permission,21e83b77d34fab850f758aba6932b5629b00a4cdf4d622101cfd69941dcfdb7e,ch05-transparent-filter-v1,mixture,selected,source-quota,17,synthetic-00059
synthetic-00060,https://fixture.invalid/00060,reference,en,licensed,1d8fcc924d034b63fa85f1d4f0c546675930472a5e89c1f7022bc1738f3382ce,ch05-transparent-filter-v1,deduplication,rejected,near-duplicate,18,synthetic-00061
synthetic-00061,https://fixture.invalid/00061,reference,en,licensed,517f0ada198458dac9dbe901b478226c188cebbad2a3a3ca7060f854c551ea3d,ch05-transparent-filter-v1,mixture,selected,source-quota,18,synthetic-00061
synthetic-00062,https://fixture.invalid/00062,web,en,licensed,3c357afb0b88e7d4064069e044bfb7829f99802a211c96dee3a504fa55e69347,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
synthetic-00063,https://fixture.invalid/00063,web,en,restricted,9f273f7a5b66bf4ffca560136d2d3e16016a45026d4c85225af8e96f432ae304,ch05-transparent-filter-v1,filter,rejected,rights-policy,,
synthetic-00064,https://fixture.invalid/00064,web,en,licensed,296120c46702d28e170e3210f9fde9fa5c2ba5547307bd3cff9f4bf403cef686,ch05-transparent-filter-v1,filter,rejected,low-alpha-ratio,,
synthetic-00065,https://fixture.invalid/00065,library,en,public-domain,f82b3fd9236564781c51ff42d80bf9b5b0b01bcd9f63b695f20666b7357a6203,ch05-transparent-filter-v1,mixture,selected,source-quota,19,synthetic-00065
synthetic-00066,https://fixture.invalid/00066,web,en,permission,7cbfd2dd7d7c9d009868ef17b148daae9e9578d83d4ad37902cc250e609347ce,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
synthetic-00067,https://fixture.invalid/00067,web,en,permission,cc139204a8c8a513038cad83b852c7060d5c75c45a4e34a95c2ad1c2d563094e,ch05-transparent-filter-v1,filter,rejected,too-short,,
synthetic-00068,https://fixture.invalid/00068,web,en,permission,c9a96baa9f33d96948185b9748d4c7adaf06f792b97aafc9780ff443100b6881,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
synthetic-00069,https://fixture.invalid/00069,community,en,permission,2b2618945062e24243bc0af245e2a806fd37b5fd576d3d8c0d279102a7dcbe99,ch05-transparent-filter-v1,mixture,selected,source-quota,20,synthetic-00069
synthetic-00070,https://fixture.invalid/00070,reference,en,licensed,311f5edc869ad0547d36a9c9609d0e56efb9c971353cdb5c6efafde8c363837e,ch05-transparent-filter-v1,deduplication,rejected,near-duplicate,21,synthetic-00071
synthetic-00071,https://fixture.invalid/00071,reference,en,licensed,b3c40c9660ae4ae1bb86a188025f84deb2bf1a3c100a7c2c0ed1825aab445030,ch05-transparent-filter-v1,mixture,selected,source-quota,21,synthetic-00071
synthetic-00072,https://fixture.invalid/00072,web,en,licensed,3c357afb0b88e7d4064069e044bfb7829f99802a211c96dee3a504fa55e69347,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
synthetic-00073,https://fixture.invalid/00073,web,en,restricted,63f1bfd8b3a8d63015156548eb3d751251871cc4c727812c2aecc93cbd679753,ch05-transparent-filter-v1,filter,rejected,rights-policy,,
synthetic-00074,https://fixture.invalid/00074,web,en,licensed,296120c46702d28e170e3210f9fde9fa5c2ba5547307bd3cff9f4bf403cef686,ch05-transparent-filter-v1,filter,rejected,low-alpha-ratio,,
synthetic-00075,https://fixture.invalid/00075,library,en,public-domain,603bba07127554eba4e1eac50b357f8000f9ae3d0220099286fb1efe6180ea7f,ch05-transparent-filter-v1,mixture,selected,source-quota,22,synthetic-00075
synthetic-00076,https://fixture.invalid/00076,web,en,permission,7cbfd2dd7d7c9d009868ef17b148daae9e9578d83d4ad37902cc250e609347ce,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
synthetic-00077,https://fixture.invalid/00077,web,en,permission,cc139204a8c8a513038cad83b852c7060d5c75c45a4e34a95c2ad1c2d563094e,ch05-transparent-filter-v1,filter,rejected,too-short,,
synthetic-00078,https://fixture.invalid/00078,web,en,permission,c9a96baa9f33d96948185b9748d4c7adaf06f792b97aafc9780ff443100b6881,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
synthetic-00079,https://fixture.invalid/00079,community,en,permission,0c9a891efad6a7ed1d3f3ae6ab51019aef0dfc40af72e25c8cfada4901cc3c33,ch05-transparent-filter-v1,mixture,selected,source-quota,23,synthetic-00079
synthetic-00080,https://fixture.invalid/00080,reference,en,licensed,5a43038f9c8e62a10e09733bc4c1cb28db4ac849221372c83f9449b130a64889,ch05-transparent-filter-v1,deduplication,rejected,near-duplicate,24,synthetic-00081
synthetic-00081,https://fixture.invalid/00081,reference,en,licensed,f89febdeff5b15eb90506afa14a6b222ddedfa1d8daba30d4dfa80dda95aec25,ch05-transparent-filter-v1,mixture,selected,source-quota,24,synthetic-00081
synthetic-00082,https://fixture.invalid/00082,web,en,licensed,3c357afb0b88e7d4064069e044bfb7829f99802a211c96dee3a504fa55e69347,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
synthetic-00083,https://fixture.invalid/00083,web,en,restricted,dbf54eaae58790a9c4b769a198e1f772c77864c8bb4af8d4d9b0e0c0771515a3,ch05-transparent-filter-v1,filter,rejected,rights-policy,,
synthetic-00084,https://fixture.invalid/00084,web,en,licensed,296120c46702d28e170e3210f9fde9fa5c2ba5547307bd3cff9f4bf403cef686,ch05-transparent-filter-v1,filter,rejected,low-alpha-ratio,,
synthetic-00085,https://fixture.invalid/00085,library,en,public-domain,67c808ee17a6aa7826b9828c2bb32d5760a7384ba98c53e5c83fdd07acb47311,ch05-transparent-filter-v1,mixture,selected,source-quota,25,synthetic-00085
synthetic-00086,https://fixture.invalid/00086,web,en,permission,7cbfd2dd7d7c9d009868ef17b148daae9e9578d83d4ad37902cc250e609347ce,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
synthetic-00087,https://fixture.invalid/00087,web,en,permission,cc139204a8c8a513038cad83b852c7060d5c75c45a4e34a95c2ad1c2d563094e,ch05-transparent-filter-v1,filter,rejected,too-short,,
synthetic-00088,https://fixture.invalid/00088,web,en,permission,c9a96baa9f33d96948185b9748d4c7adaf06f792b97aafc9780ff443100b6881,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
synthetic-00089,https://fixture.invalid/00089,community,en,permission,1d52cc18e932d616460378dc788bce6af1a651eb22e19cf8c80d7b339a7a783c,ch05-transparent-filter-v1,mixture,selected,source-quota,26,synthetic-00089
synthetic-00090,https://fixture.invalid/00090,reference,en,licensed,2d76414c326a0cde13cfa89abf5ac1e7c3e97f80571c9669d82ad4dba042cac4,ch05-transparent-filter-v1,deduplication,rejected,near-duplicate,27,synthetic-00091
synthetic-00091,https://fixture.invalid/00091,reference,en,licensed,cc041454c79c7b2d24126da36b35a73248678173855480319a96cf78b0277f42,ch05-transparent-filter-v1,mixture,selected,source-quota,27,synthetic-00091
synthetic-00092,https://fixture.invalid/00092,web,en,licensed,3c357afb0b88e7d4064069e044bfb7829f99802a211c96dee3a504fa55e69347,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
synthetic-00093,https://fixture.invalid/00093,web,en,restricted,04d2871d60e63871c531b178dedef740c65ec99110e4bfd677a21792d5190c04,ch05-transparent-filter-v1,filter,rejected,rights-policy,,
synthetic-00094,https://fixture.invalid/00094,web,en,licensed,296120c46702d28e170e3210f9fde9fa5c2ba5547307bd3cff9f4bf403cef686,ch05-transparent-filter-v1,filter,rejected,low-alpha-ratio,,
synthetic-00095,https://fixture.invalid/00095,library,en,public-domain,1740c1930ef5468c0ccb534c5099ad5c6d3f2905deddc4e152f58a9f4be85999,ch05-transparent-filter-v1,mixture,selected,source-quota,28,synthetic-00095
synthetic-00096,https://fixture.invalid/00096,web,en,permission,7cbfd2dd7d7c9d009868ef17b148daae9e9578d83d4ad37902cc250e609347ce,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
synthetic-00097,https://fixture.invalid/00097,web,en,permission,cc139204a8c8a513038cad83b852c7060d5c75c45a4e34a95c2ad1c2d563094e,ch05-transparent-filter-v1,filter,rejected,too-short,,
synthetic-00098,https://fixture.invalid/00098,web,en,permission,c9a96baa9f33d96948185b9748d4c7adaf06f792b97aafc9780ff443100b6881,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
synthetic-00099,https://fixture.invalid/00099,community,en,permission,ebc8b11a6e98adbb0f5d41bc5348d582e4bbd3b4e7604c240cfd7c456d98d388,ch05-transparent-filter-v1,mixture,selected,source-quota,29,synthetic-00099
synthetic-00100,https://fixture.invalid/00100,reference,en,licensed,55d009b3e8d94de2e0a2a250709d999191552f88f4d2726451721356676d628b,ch05-transparent-filter-v1,deduplication,rejected,near-duplicate,30,synthetic-00101
synthetic-00101,https://fixture.invalid/00101,reference,en,licensed,78584e5dc7d01350dfd982176be4e563ccff246c1a41726eb012ea1fb272e93b,ch05-transparent-filter-v1,mixture,selected,source-quota,30,synthetic-00101
synthetic-00102,https://fixture.invalid/00102,web,en,licensed,3c357afb0b88e7d4064069e044bfb7829f99802a211c96dee3a504fa55e69347,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
synthetic-00103,https://fixture.invalid/00103,web,en,restricted,ef81c1279bce6a01619fc740f315d3b17d063b345552f4fbf0c75a482eb1a0e1,ch05-transparent-filter-v1,filter,rejected,rights-policy,,
synthetic-00104,https://fixture.invalid/00104,web,en,licensed,296120c46702d28e170e3210f9fde9fa5c2ba5547307bd3cff9f4bf403cef686,ch05-transparent-filter-v1,filter,rejected,low-alpha-ratio,,
synthetic-00105,https://fixture.invalid/00105,library,en,public-domain,0ef7b065fc630f5c5ab173085161265de48a43fc7fe3f19c30af044135ffb5e5,ch05-transparent-filter-v1,mixture,selected,source-quota,31,synthetic-00105
synthetic-00106,https://fixture.invalid/00106,web,en,permission,7cbfd2dd7d7c9d009868ef17b148daae9e9578d83d4ad37902cc250e609347ce,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
synthetic-00107,https://fixture.invalid/00107,web,en,permission,cc139204a8c8a513038cad83b852c7060d5c75c45a4e34a95c2ad1c2d563094e,ch05-transparent-filter-v1,filter,rejected,too-short,,
synthetic-00108,https://fixture.invalid/00108,web,en,permission,c9a96baa9f33d96948185b9748d4c7adaf06f792b97aafc9780ff443100b6881,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
synthetic-00109,https://fixture.invalid/00109,community,en,permission,57f204c48d5ce58cdf7e63427cf0a0aa90955fe303b6e624aafda58b24e6fe4d,ch05-transparent-filter-v1,mixture,selected,source-quota,32,synthetic-00109
synthetic-00110,https://fixture.invalid/00110,reference,en,licensed,d3504f04df5eaba8d791ae40f4fea73ff8c03aa29c252d1ef6d6c59fd1989bf3,ch05-transparent-filter-v1,deduplication,rejected,near-duplicate,33,synthetic-00111
synthetic-00111,https://fixture.invalid/00111,reference,en,licensed,aa1addcb12f1d838b9e26961109a065f1994a651195dfd53887540d73d547a76,ch05-transparent-filter-v1,mixture,selected,source-quota,33,synthetic-00111
synthetic-00112,https://fixture.invalid/00112,web,en,licensed,3c357afb0b88e7d4064069e044bfb7829f99802a211c96dee3a504fa55e69347,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
synthetic-00113,https://fixture.invalid/00113,web,en,restricted,7702b628e9734c2726d054c1d0c4e0f5c762a91193f50ff8bbff1ed5d3b52ffb,ch05-transparent-filter-v1,filter,rejected,rights-policy,,
synthetic-00114,https://fixture.invalid/00114,web,en,licensed,296120c46702d28e170e3210f9fde9fa5c2ba5547307bd3cff9f4bf403cef686,ch05-transparent-filter-v1,filter,rejected,low-alpha-ratio,,
synthetic-00115,https://fixture.invalid/00115,library,en,public-domain,44836bc0b3c34ce6c01cf697562cefd11ff9586d37859aeeb562f239bffea409,ch05-transparent-filter-v1,mixture,selected,source-quota,34,synthetic-00115
synthetic-00116,https://fixture.invalid/00116,web,en,permission,7cbfd2dd7d7c9d009868ef17b148daae9e9578d83d4ad37902cc250e609347ce,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
synthetic-00117,https://fixture.invalid/00117,web,en,permission,cc139204a8c8a513038cad83b852c7060d5c75c45a4e34a95c2ad1c2d563094e,ch05-transparent-filter-v1,filter,rejected,too-short,,
synthetic-00118,https://fixture.invalid/00118,web,en,permission,c9a96baa9f33d96948185b9748d4c7adaf06f792b97aafc9780ff443100b6881,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
synthetic-00119,https://fixture.invalid/00119,community,en,permission,7e48dee1d10d933ee2abe1847456be009deb55f3bd423fceefd22e18c86a3f4d,ch05-transparent-filter-v1,mixture,selected,source-quota,35,synthetic-00119
synthetic-00120,https://fixture.invalid/00120,reference,en,licensed,c45782169209311bb3077a2091dc5a2845401c936319898ab46cb936b8ccffbc,ch05-transparent-filter-v1,deduplication,rejected,near-duplicate,36,synthetic-00121
synthetic-00121,https://fixture.invalid/00121,reference,en,licensed,d3da5232f9d31050224f801586abdc486a5de2e8d43cf8ed301735a046bcd4b8,ch05-transparent-filter-v1,mixture,selected,source-quota,36,synthetic-00121
synthetic-00122,https://fixture.invalid/00122,web,en,licensed,3c357afb0b88e7d4064069e044bfb7829f99802a211c96dee3a504fa55e69347,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
synthetic-00123,https://fixture.invalid/00123,web,en,restricted,0ecdd58a96515080c47a55692d58bde1f9fa2b09fef43a9d00cb725896ddeb5f,ch05-transparent-filter-v1,filter,rejected,rights-policy,,
synthetic-00124,https://fixture.invalid/00124,web,en,licensed,296120c46702d28e170e3210f9fde9fa5c2ba5547307bd3cff9f4bf403cef686,ch05-transparent-filter-v1,filter,rejected,low-alpha-ratio,,
synthetic-00125,https://fixture.invalid/00125,library,en,public-domain,34e2404a7a8bad79d048172ece67cc6286cf5838a683bb859b5b1d16697d6f0e,ch05-transparent-filter-v1,mixture,selected,source-quota,37,synthetic-00125
synthetic-00126,https://fixture.invalid/00126,web,en,permission,7cbfd2dd7d7c9d009868ef17b148daae9e9578d83d4ad37902cc250e609347ce,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
synthetic-00127,https://fixture.invalid/00127,web,en,permission,cc139204a8c8a513038cad83b852c7060d5c75c45a4e34a95c2ad1c2d563094e,ch05-transparent-filter-v1,filter,rejected,too-short,,
synthetic-00128,https://fixture.invalid/00128,web,en,permission,c9a96baa9f33d96948185b9748d4c7adaf06f792b97aafc9780ff443100b6881,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
synthetic-00129,https://fixture.invalid/00129,community,en,permission,79030cb8c0b83113db306963959b2ac1846dcc2ed74b483055105c95d7362a4e,ch05-transparent-filter-v1,mixture,eligible-not-selected,source-quota,38,synthetic-00129
synthetic-00130,https://fixture.invalid/00130,reference,en,licensed,00511a253813cbaec43cfb42810603666a657a7dc96b9d5b704856a4b3365e37,ch05-transparent-filter-v1,deduplication,rejected,near-duplicate,39,synthetic-00131
synthetic-00131,https://fixture.invalid/00131,reference,en,licensed,db6bf9df5e97c7c04a99fd8ce7fb29e95277c5419db24940cc676f5548ad4199,ch05-transparent-filter-v1,mixture,selected,source-quota,39,synthetic-00131
synthetic-00132,https://fixture.invalid/00132,web,en,licensed,3c357afb0b88e7d4064069e044bfb7829f99802a211c96dee3a504fa55e69347,ch05-transparent-filter-v1,filter,rejected,line-repetition,,
synthetic-00133,https://fixture.invalid/00133,web,en,restricted,9aa5a6a03c95e8bd6d9c72e37fc8df4c2a1d5ea55992e7f1d74217a0a4441c4b,ch05-transparent-filter-v1,filter,rejected,rights-policy,,
